idx,abstract,context,entities,id,info,title
0,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] Early on, most of it took the form of monologues or dramatizations of real events, almost all to do solely with <strong>West</strong>. <strong>Ms. Shear</strong> periodically showed snippets of what <strong>she [Claudia Shear]</strong> had written to <strong>Mr. Lapine</strong>. [...]</td>",<th>Claudia Shear</th><th>James Lapine</th><th>Mae West</th>,16047_1170161_65_66,"<td>Claudia Shear is an American actress and playwright. She was nominated for the Tony Award, Best Play and Best Actress for her play Dirty Blonde.</td><td>James Elliot Lapine is an American stage director, playwright, screenwriter, and librettist. He has won the Tony Award for Best Book of a Musical three times, for Into the Woods, Falsettos, and Passion. He has frequently collaborated with Stephen Sondheim and William Finn.</td><td>Mary Jane ""Mae"" West was an American actress, singer, playwright, screenwriter, comedian, and sex symbol whose entertainment career spanned seven decades, known for her lighthearted bawdy double entendres and breezy sexual independence.</td>","<td colspan=3><strong_blue>Title of the article: </strong_blue>Collaborate, Big Boy? (2000/01/21)</td>"
1,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] IS N'T SHE GREAT Directed by Andrew Bergman; written by Paul Rudnick, based on an article by <strong>Michael Korda</strong>; director of photography, Karl Walter Lindenlaub; edited by Barry Malkin; music by Burt Bacharach; production designer, Stuart Wurtzel; produced by Mike Lobell; released by Universal Pictures. Running time: 90 minutes. This film is rated R. WITH: <strong>Bette Midler</strong> -LRB- Jacqueline Susann -RRB-, Nathan Lane -LRB- <strong>Irving Mansfield</strong> -RRB-, Stockard Channing -LRB- Florence Maybelle -RRB-, David Hyde Pierce -LRB- Michael Hastings -RRB-, John Cleese -LRB- Henry Marcus -RRB-, Amanda Peet -LRB- Debbie -RRB-, James Villemaire -LRB- Jim Morrison -RRB-, David Lawrence -LRB- Steve Lawrence -RRB-, Debbie Gravitte -LRB- Eydie Gorme -RRB- and Sam Street -LRB- Truman Capote -RRB-. [...]</td>",<th>Bette Midler</th><th>Irving Mansfield</th><th>Michael Korda</th>,23142_1171902_43_45,"<td>Bette Midler is an American singer, songwriter, actress, comedian, and film producer.Born in Honolulu, Hawaii, Midler began her professional career in several Off-Off-Broadway plays, prior to her engagements in Fiddler on the Roof and Salvation on Broadway in the late 1960s. She came to prominence in 1970 when she began singing in the Continental Baths, a local gay bathhouse where she managed to build up a core following.</td><td>Irving Mansfield was an American producer, publicist and writer. He is best remembered as the husband of novelist Jacqueline Susann and for his promotion of Susann's enormously popular books.</td><td>Michael Korda is an English-born writer and novelist who was editor-in-chief of Simon & Schuster in New York City.</td>",<td colspan=3><strong_blue>Title of the article: </strong_blue>Camping Trip to Susann's Valley (2000/01/28)</td>
2,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] The German, <strong>Martin Bergau</strong>, witnessed the executions of some women and gave harrowing testimony to them in a German-language book and in a submission to Yad Vashem, the Holocaust Remembrance Authority in Jerusalem. The American, <strong>Gunter Nitsch</strong>, had only heard stories of the killings as a boy. [...]</td>",<th>Gunter Nitsch</th><th>Martin Bergau</th>,27092_1172895_24_25,<td>Hermann Nitsch is an Austrian avant-garde artist who works in experimental and multimedia modes.</td><td>No information found.</td>,<td colspan=2><strong_blue>Title of the article: </strong_blue>Yantarny Journal; Russians Awaken to a Forgotten SS Atrocity (2000/01/31)</td>
3,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] After listening to <strong>Dr. Albright 's [Madeleine Albright]</strong> rejoinder, <strong>Mr. <strong>Putin</strong></strong> and the secretary of state shook hands, and <strong>Mr. Putin</strong> left the conference hall as quickly as <strong>he [Vladimir Putin]</strong> came. [...]</td>",<th>Madeleine Albright</th><th>Vladimir Putin</th>,2046_1173251_11_11,"<td>Madeleine Jana Korbel Albright is an American politician and diplomat. She is the first female United States Secretary of State in U.S. history, having served from 1997 to 2001 under President Bill Clinton.Along with her family, Albright immigrated to the United States in 1948 from Czechoslovakia. Her father, diplomat Josef Korbel, settled the family in Denver, and she became a U.S. citizen in 1957. Albright graduated from Wellesley College in 1959 and earned a PhD from Columbia University in 1975, writing her thesis on the Prague Spring.</td><td>Vladimir Vladimirovich Putin is a Russian politician and former intelligence officer serving as President of Russia since 2012, previously holding the position from 2000 until 2008. In between his presidential terms, he was also the Prime Minister of Russia under his close associate Dmitry Medvedev.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>Talk by Putin Skips the War, But Albright Reminds Him (2000/02/02)</td>"
4,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] Even so, <strong>it [John Bissell]</strong> gave the court-appointed monitor broad powers to examine all actions by the existing staff members and officers and to remove those who <strong>he [John Bissell]</strong> determined were not obeying the law and acting in the best interest of the I.B.F. and boxing. Although <strong>Lee [Joseph Hayden Sr]</strong> and two others among the indicted officials who have been arrested have voluntarily stepped down and turned the I.B.F. 's day-to-day operations over to an executive committee of the board, <strong>Judge Bissell</strong> underscored the requirement that they have nothing to do with the organization. [...]</td>",<th>John Bissell</th><th>Joseph Hayden Sr</th>,8962_1168295_9_10,"<td>John Bissell Carroll was an American psychologist known for his contributions to psychology, linguistics and psychometrics.</td><td>Joseph Patrick Kennedy was an American businessman, investor, and politician known for his high-profile positions in United States government and for the political and other achievements of his children. </td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Monitor Appointed to Oversee I.B.F. (2000/01/13)</td>
5,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] They said <strong>he [Zeljko Raznatovic]</strong> had traveled to Montenegro, Serbia 's sister republic, which is led by President Milo Djukanovic. <strong>Mr. Raznatovic</strong> supported Mr. Djukanovic 's election in 1997 against the wishes of <strong>President Slobodan Milosevic of Yugoslavia [Slobodan Milosevic]</strong>. [...]</td>",<th>Slobodan Milosevic</th><th>Zeljko Raznatovic</th>,1470_1169375_3_4,"<td>Slobodan Milošević ; Serbian Cyrillic: Слободан Милошевић; 20 August 1941 – 11 March 2006) was a Yugoslav politician who served as the President of Serbia from 1989 to 1997 and President of the Federal Republic of Yugoslavia from 1997 to 2000.</td><td>Željko Ražnatović , better known as Arkan , was a Serbian career criminal and commander of a paramilitary force in the Yugoslav Wars, called the Serb Volunteer Guard. He was on Interpol's most wanted list in the 1970s and 1980s for robberies and murders committed in a number of countries across Europe, and was later indicted by the UN for crimes against humanity for his role during the wars. Ražnatović was, up until his death, the most powerful crime boss in the Balkans.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Political Motive Suspected in Killing of Serbian Warlord (2000/01/17)</td>
6,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] <strong>Hess</strong> made two presentations in the league 's large boardroom, but spent most of <strong>his [Leon Hess]</strong> time in another room meeting with Grubman. Much of the feedback to Hess about the committee 's feelings about <strong>Dolan</strong> came from Paul Tagliabue, the N.F.L. commissioner. There were no concerns about <strong>Johnson 's [Robert Wood Iv Johnson]</strong> private family business interests, participants said. [...]</td>",<th>Charles Dolan</th><th>Leon Hess</th><th>Robert Wood Iv Johnson</th>,606_1168079_37_39,"<td>Charles Francis ""Chuck"" Dolan is an American billionaire and the founder of Cablevision. Through supervoting shares, Dolan today controls AMC Networks, MSG Networks, and The Madison Square Garden Company, which at one point were all part of Cablevision itself.</td><td>Leon Hess was the founder of the Hess Corporation and the owner of the New York Jets.</td><td>No information found.</td>",<td colspan=3><strong_blue>Title of the article: </strong_blue>The Jets Fill One Opening: New Owner at $635 Million (2000/01/12)</td>
7,,<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] -LRB- <strong>Officer Murphy</strong> has a 1-year-old boy and Officers McMellon and <strong>Boss</strong> are single. -RRB- [...]</td>,<th>Kenneth Boss</th><th>Richard Murphy</th>,24_1172246_41_41,"<td>The shooting of Amadou Diallo occurred on February 4, 1999, when Amadou Diallo, a 23-year-old immigrant from Guinea, was shot and killed by four New York City Police Department plain-clothed officers—Sean Carroll, Richard Murphy, Edward McMellon and Kenneth Boss—after they mistook him for a rape suspect from one year earlier. The officers fired a combined total of 41 shots, 19 of which struck Diallo, outside his apartment at 1157 Wheeler Avenue in the Soundview section of The Bronx. The four were part of the now-defunct Street Crimes Unit.</td><td>(related article) The shooting of Amadou Diallo occurred on February 4, 1999, when Amadou Diallo, a 23-year-old immigrant from Guinea, was shot and killed by four New York City Police Department plain-clothed officers—Sean Carroll, Richard Murphy, Edward McMellon and Kenneth Boss—after they mistook him for a rape suspect from one year earlier. The officers fired a combined total of 41 shots, 19 of which struck Diallo, outside his apartment at 1157 Wheeler Avenue in the Soundview section of The Bronx. The four were part of the now-defunct Street Crimes Unit.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>For Officers in Diallo Case, a Year of Scorn and Isolation (2000/01/29)</td>"
8,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] According to the two officials, the current investigation stems from a letter written on Dec. 20 by two Democratic Party loyalists, <strong>Thomas J. Garry</strong> and <strong>Arnold J. Ludwig</strong>. In their letter, which was sent to more than 40 Democratic Party officials in Brooklyn, the two men bitterly complained that a fellow lawyer, who holds no party office, had excluded them from a sizable court-awarded assignment despite their'' unquestioned'' fidelity to the party for more than 25 years. The lawyer accused in the letter, <strong>Ravi Batra</strong>, has defended himself by saying that he fired the two men as legal advisers in handling the affairs of a failed cemetery in Brooklyn because they were trying to'' churn legal fees to the detriment of the estate.'' [...]</td>",<th>Arnold Ludwig</th><th>Ravi Batra</th><th>Thomas Garry</th>,1189_1168031_7_9,"<td>Arnold Hermann Ludwig Heeren was a German historian. He was a member of the Göttingen School of History.</td><td>Raveendra Nath ""Ravi"" Batra is an Indian-American economist, author, and professor at Southern Methodist University. Batra is the author of six bestselling books, two of which appeared on The New York Times Best Seller list, with one reaching #1 in late 1987. His books center on his idea that financial capitalism breeds excessive inequality and political corruption which inevitably succumbs to financial crisis and economic depression.</td><td>Thomas Henry Garry was a rancher and political figure in Saskatchewan. He represented Yorkton in the Legislative Assembly of Saskatchewan from 1905 to 1929 as a Liberal.</td>","<td colspan=3><strong_blue>Title of the article: </strong_blue>F.B.I. Investigating Favoritism In Brooklyn Courts, Officials Say (2000/01/12)</td>"
9,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Rick Lyman article on Rancho Valencia Resort, comfortable retreat north of San Diego, Calif</td>",<th>California</th><th>San Diego</th>,11389_1168814,"<td>California is a state in the Pacific Region of the United States. With 39.6 million residents, California is the most populous U.S. state and the third-largest by area. The state capital is Sacramento. The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and fifth-most populous urban regions, with 18.7 million and 9.7 million residents respectively. Los Angeles is California's most populous city, and the country's second-most populous, after New York City.</td><td>San Diego is a city in the U.S. state of California. It is in San Diego County, on the coast of the Pacific Ocean in Southern California, approximately 120 miles south of Los Angeles and immediately adjacent to the border with Mexico.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>A Bastion of Shameless Indulgence (2000/01/16)</td>
